MWSC,Name,Type_n_Type,RAhour,RA,DEC,GLON,GLAT,r0,r1,r2,pmRA,pmDE,e_pm,RV,e_RV,o_RV,N1sr0,N1sr1,N1sr2,d,E(B-V),MOD,E(J-Ks),E(J-H),dH,logt,e_logt,Nt,rc,e_rc,rt,e_rt,k,e_k,Src,SType,[Fe/H],e_[Fe/H],o_[Fe/H]
2043,FSR_1613,ro,12.5315,187.97249794006348,-46.477,299.422,16.265,0.015,0.11,0.17,-11.73,0.51,0.82,999.99,99.99,0,2,42,98,1965.0,0.104,11.5,0.05,0.033,0.0,9.49,0.043,5,0.8,0.3,9.4,3.93,4.08,1.31,FPOS,-,99.999,9.99,-
2046,ESO_442-04,ro,12.568,188.51999759674072,-29.4,298.399,33.322,0.03,0.175,0.28,-5.93,-0.17,0.67,999.99,99.99,0,3,18,48,1585.0,0.0,11.0,0.0,0.0,0.01,9.6,0.0,-1,0.78,0.31,14.04,6.44,4.1,1.61,DREM,ast,99.999,9.99,-
2083,FSR_1639,ro,13.1545,197.31750011444092,-77.135,303.952,-14.295,0.025,0.11,0.195,-15.29,-3.86,0.89,999.99,99.99,0,3,28,80,7943.0,0.0,14.5,0.0,0.0,0.0,9.3,0.0,-1,9.39,5.28,53.79,29.16,0.03,0.01,FPOS,-,99.999,9.99,-
2145,FSR_1672,ro,13.6335,204.50250148773193,-43.18,311.873,18.885,0.02,0.085,0.155,-9.79,0.42,0.87,999.99,99.99,0,2,30,76,3020.0,0.0,12.4,0.0,0.0,0.0,9.6,0.0,-1,2.72,1.27,15.15,6.26,0.21,0.07,FPOS,-,99.999,9.99,-
2149,FSR_1656,ro,13.689,205.3350019454956,-66.637,307.855,-4.24,0.018,0.06,0.105,-8.41,-1.63,0.95,999.99,99.99,0,8,25,86,5087.0,0.521,13.7,0.25,0.167,0.0,9.25,0.0,-1,1.35,0.48,17.69,6.41,0.77,0.3,FPOS,-,99.999,9.99,-
2154,Dias_4,ro,13.7236,205.85400581359863,-63.0,308.787,-0.717,0.02,0.08,0.13,-10.28,-0.45,0.82,999.99,99.99,0,1,28,68,2155.0,0.583,11.855,0.28,0.187,0.015,9.26,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,DIAS,-,99.999,9.99,-
2178,FSR_1683,ro,13.9106,208.65899562835693,-41.768,315.372,19.576,0.012,0.11,0.175,-8.8,-1.86,0.95,999.99,99.99,0,1,21,47,3848.0,0.229,13.0,0.11,0.073,-0.005,9.17,0.0,-1,1.6,0.8,22.95,13.16,0.59,0.26,FPOS,-,99.999,9.99,-
2179,ESO_445-74,ro,13.9108,208.6619997024536,-31.95,318.249,29.038,0.015,0.07,0.1,-7.25,-1.09,0.61,999.99,99.99,0,2,8,16,3802.0,0.0,12.9,0.0,0.0,0.01,9.5,0.0,-1,0.54,0.28,13.49,7.62,2.24,1.5,DIAS,-,99.999,9.99,-
2185,FSR_1684,ro,13.9585,209.37749862670898,-42.87,315.609,18.373,0.02,0.09,0.16,-7.22,-2.16,1.14,999.99,99.99,0,1,20,57,2733.0,0.052,12.2,0.025,0.017,0.0,9.4,0.046,4,1.48,0.72,11.28,5.46,0.74,0.27,FPOS,-,99.999,9.99,-
2227,FSR_1690,ro,14.5389,218.08350563049316,-53.7,317.63,6.271,0.02,0.075,0.12,-8.2,0.64,0.65,999.99,99.99,0,5,48,115,1850.0,0.666,11.55,0.32,0.213,0.0,9.135,0.0,-1,1.4,0.34,7.25,1.65,6.08,0.83,FPOS,-,99.999,9.99,-
