MWSC,Name,Type_n_Type,RAhour,RA,DEC,GLON,GLAT,r0,r1,r2,pmRA,pmDE,e_pm,RV,e_RV,o_RV,N1sr0,N1sr1,N1sr2,d,E(B-V),MOD,E(J-Ks),E(J-H),dH,logt,e_logt,Nt,rc,e_rc,rt,e_rt,k,e_k,Src,SType,[Fe/H],e_[Fe/H],o_[Fe/H]
41,Berkeley_2,-,0.4211,6.31649985909462,60.382,119.696,-2.328,0.018,0.04,0.1,1.07,-2.68,0.49,999.99,99.99,0,12,29,108,5499.0,0.899,13.991,0.432,0.288,0.0,8.98,0.033,9,1.75,0.37,20.1,4.51,1.89,0.36,DIAS,-,99.999,9.99,-
42,FSR_0494,-,0.428,6.420000046491623,63.75,120.084,1.018,0.02,0.095,0.165,-2.97,-2.66,0.22,999.99,99.99,0,9,118,245,5087.0,0.521,13.7,0.25,0.167,-0.01,9.3,0.0,-1,2.86,0.54,22.66,4.47,1.71,0.21,DIAS,irc,99.999,9.99,-
44,FSR_0496,-,0.445,6.674999892711639,64.03,120.223,1.285,0.018,0.075,0.17,-0.29,-2.48,0.29,999.99,99.99,0,8,62,235,1123.0,0.77,10.5,0.37,0.247,0.0,9.055,0.049,3,1.84,0.47,5.19,0.94,19.39,5.62,DIAS,irc,99.999,9.99,-
45,NGC_110,-,0.457,6.85499981045723,71.422,120.996,8.637,0.02,0.065,0.115,2.75,3.78,0.51,999.99,99.99,0,4,23,46,1600.0,0.65,11.23,0.312,0.208,0.0,8.97,0.0,-1,0.62,0.24,5.86,2.26,4.37,1.5,DIAS,dub,99.999,9.99,-
46,SAI_6,-,0.4652,6.978000104427338,60.677,120.049,-2.066,0.02,0.065,0.12,-0.3,-1.36,0.46,-47.0,3.7,1,7,37,109,3100.0,0.899,12.746,0.432,0.288,0.0,8.7,0.061,5,1.19,0.38,13.63,4.87,2.0,0.53,DIAS,-,99.999,9.99,-
48,FSR_0481,-,0.4823,7.234500199556351,43.279,118.586,-19.406,0.01,0.05,0.11,3.5,1.31,0.66,999.99,99.99,0,3,11,23,2164.0,0.385,11.8,0.185,0.123,0.0,9.1,0.0,-1,0.5,0.14,8.14,2.58,11.92,3.63,FPOS,-,99.999,9.99,-
51,FSR_0503,-,0.4905,7.357500046491623,68.894,120.938,6.104,0.035,0.06,0.14,0.53,1.02,0.42,999.99,99.99,0,15,26,119,4701.0,0.799,13.618,0.384,0.256,0.01,9.18,0.0,-1,2.75,0.62,22.25,5.24,0.92,0.15,FPOS,-,99.999,9.99,-
52,Stock_21,-,0.5041,7.561500370502472,57.931,120.107,-4.828,0.02,0.07,0.155,-1.07,-2.76,0.33,999.99,99.99,0,6,42,168,1700.0,0.416,11.286,0.2,0.133,-0.022,8.825,0.0,-1,0.64,0.26,7.36,3.31,6.82,2.21,COCD,-,99.999,9.99,-
53,NGC_129,-,0.5028,7.541999816894531,60.203,120.285,-2.563,0.02,0.09,0.155,-2.2,-1.16,0.25,-38.03,0.82,5,7,93,240,1685.0,0.541,11.307,0.26,0.173,-0.01,7.975,0.0,-1,2.29,0.41,7.26,0.99,9.05,1.58,COCD,-,99.999,9.99,-
55,NGC_133,-,0.5213,7.819500267505646,63.345,120.668,0.559,0.015,0.035,0.08,-1.92,-1.17,0.66,999.99,99.99,0,5,12,45,1861.0,0.625,11.55,0.3,0.2,-0.035,7.3,0.0,-1,0.29,0.11,3.69,1.48,20.05,8.27,DIAS,-,99.999,9.99,-
56,NGC_136,-,0.5267,7.900500297546387,61.51,120.563,-1.274,0.015,0.055,0.125,0.31,-1.16,0.51,999.99,99.99,0,5,26,77,3519.0,0.833,13.0,0.4,0.267,0.0,8.4,0.0,-1,0.95,0.23,14.74,3.86,4.08,1.07,DIAS,-,99.999,9.99,-
57,King_14,-,0.5343,8.014500439167023,63.181,120.743,0.388,0.017,0.09,0.14,-3.75,-1.55,0.22,999.99,99.99,0,7,95,188,2600.0,0.6,12.268,0.288,0.192,-0.01,7.7,0.0,-1,1.19,0.22,10.97,2.15,8.23,1.12,DIAS,-,99.999,9.99,-
58,King_15,-,0.5466,8.198999762535095,61.89,120.733,-0.905,0.025,0.05,0.095,-3.27,-0.31,0.73,999.99,99.99,0,6,14,27,5500.0,0.7,13.927,0.336,0.224,0.0,8.4,0.0,-1,1.9,0.72,16.81,6.89,0.82,0.21,DIAS,-,0.07,9.99,-
59,NGC_146,-,0.5484,8.225999772548676,63.305,120.847,0.505,0.025,0.06,0.16,-4.17,-2.23,0.41,999.99,99.99,0,8,34,205,2800.0,0.6,12.429,0.288,0.192,0.0,7.701,0.214,3,2.17,0.45,12.71,2.59,4.72,0.47,COCD,-,99.999,9.99,-
62,NGC_189,-,0.658,9.869999885559082,61.115,121.483,-1.726,0.017,0.045,0.12,-0.31,-2.71,0.6,999.99,99.99,0,5,17,82,1300.0,0.7,10.795,0.336,0.224,0.0,8.709,0.047,4,0.87,0.21,3.85,0.76,12.29,2.2,DIAS,-,99.999,9.99,-
63,Stock_24,-,0.6627,9.94049996137619,61.965,121.555,-0.879,0.02,0.06,0.145,-1.66,1.3,0.39,999.99,99.99,0,5,29,129,2400.0,0.55,12.078,0.264,0.176,0.0,7.985,0.0,1,1.26,0.25,9.2,1.95,9.27,1.12,DIAS,-,99.999,9.99,-
65,Dolidze_12,-,0.6795,10.19249975681305,60.855,121.628,-1.993,0.02,0.08,0.13,-0.72,-0.99,0.33,999.99,99.99,0,7,44,112,4000.0,0.5,13.171,0.24,0.16,0.0,9.135,0.022,14,2.56,0.65,19.56,5.16,0.79,0.14,DREM,ast,99.999,9.99,-
66,FSR_0508,-,0.6982,10.472999811172485,64.956,121.917,2.1,0.012,0.035,0.055,2.23,-0.07,0.55,999.99,99.99,0,5,22,41,5053.0,1.499,14.0,0.72,0.48,-0.01,6.67,0.0,-1,1.23,0.28,7.52,1.57,4.93,0.81,DIAS,irc,99.999,9.99,-
67,Dias_1,-,0.7102,10.653000175952911,64.06,121.962,1.202,0.02,0.06,0.14,-0.86,1.33,0.29,999.99,99.99,0,12,52,165,2186.0,0.937,12.0,0.45,0.3,0.01,7.9,0.0,-1,0.67,0.17,9.06,2.58,12.64,2.88,DIAS,-,99.999,9.99,-
68,NGC_225,-,0.72,10.800000429153442,61.782,121.953,-1.077,0.02,0.07,0.18,-3.09,-0.75,0.41,-28.0,99.99,1,3,29,155,850.0,0.6,9.84,0.288,0.192,-0.02,8.191,0.058,2,0.26,0.14,3.58,2.08,14.0,7.76,COCD,-,99.999,9.99,-
69,Czernik_2,-,0.7283,10.92449963092804,60.152,121.963,-2.708,0.02,0.045,0.11,-0.71,-1.0,0.44,999.99,99.99,0,6,28,92,4500.0,0.5,13.427,0.24,0.16,0.01,9.123,0.036,6,1.25,0.35,18.31,5.72,2.13,0.58,DIAS,-,99.999,9.99,-
70,King_16,-,0.731,10.965000092983246,64.18,122.102,1.317,0.02,0.065,0.13,-0.66,1.58,0.34,999.99,99.99,0,9,45,124,2325.0,0.833,12.1,0.4,0.267,0.0,7.8,0.0,-1,0.8,0.15,10.53,2.16,11.82,2.11,DIAS,-,99.999,9.99,-
71,FSR_0507,-,0.734,11.01000040769577,52.36,121.778,-10.498,0.02,0.075,0.15,-5.26,0.37,0.42,999.99,99.99,0,3,25,69,2203.0,0.885,12.0,0.425,0.283,0.01,9.0,0.0,-1,2.17,0.69,7.78,1.8,1.29,0.34,FPOS,-,99.999,9.99,-
73,Berkeley_4,-,0.7512,11.268000304698944,64.382,122.239,1.516,0.03,0.09,0.17,-0.23,1.01,0.31,999.99,99.99,0,16,69,176,3300.0,0.7,12.818,0.336,0.224,-0.01,7.3,0.0,-1,1.76,0.32,17.16,3.41,3.97,0.54,COCD,-,99.999,9.99,-
74,NGC_188,-,0.79,11.850000321865082,85.255,122.839,22.381,0.035,0.295,0.57,0.15,-1.43,0.11,-45.0,2.13,21,30,402,724,2000.0,0.085,11.533,0.041,0.027,-0.015,9.65,0.0,-1,2.36,0.24,22.86,2.5,15.59,1.02,DIAS,-,-0.01,0.09,-
75,Berkeley_61,-,0.8053,12.079499959945679,67.193,122.624,4.32,0.025,0.06,0.1,-1.95,0.98,0.62,999.99,99.99,0,6,17,51,2153.0,1.041,12.0,0.5,0.333,-0.01,8.985,0.015,2,1.4,0.47,4.24,0.69,2.84,0.68,DIAS,-,99.999,9.99,-
76,Dolidze_13,-,0.834,12.509999871253967,64.091,122.775,1.216,0.02,0.055,0.11,-1.49,2.45,0.52,999.99,99.99,0,5,25,58,2400.0,0.35,12.014,0.168,0.112,-0.01,8.962,0.04,2,0.43,0.2,8.74,4.63,6.71,3.57,DIAS,dub,99.999,9.99,-
77,FSR_0515,-,0.8455,12.682499885559082,54.765,122.823,-8.11,0.012,0.051,0.085,-4.27,-2.34,0.55,999.99,99.99,0,2,19,33,2362.0,0.416,12.0,0.2,0.133,0.0,9.275,0.0,-1,1.12,0.21,7.25,1.32,6.72,0.9,FPOS,-,99.999,9.99,-
78,FSR_0516,-,0.8425,12.637499570846558,65.965,122.837,3.09,0.018,0.085,0.17,-1.8,-0.45,0.58,999.99,99.99,0,2,16,65,810.0,2.04,10.199,0.98,0.654,0.05,8.83,0.052,4,1.54,0.33,4.83,0.78,15.03,3.15,DIAS,irc,99.999,9.99,-
79,King_2,-,0.8488,12.732000052928925,58.201,122.859,-4.674,0.02,0.05,0.1,-1.71,-0.08,0.6,-144.25,5.92,7,2,15,53,5499.0,0.3,13.798,0.144,0.096,0.0,9.67,0.0,-1,4.27,1.34,12.16,2.62,0.92,0.31,DIAS,-,-0.42,0.09,-
83,FSR_0519,-,0.8748,13.122000396251678,64.667,123.04,1.792,0.02,0.06,0.14,0.03,2.47,0.35,999.99,99.99,0,5,26,95,1517.0,0.697,11.129,0.335,0.223,0.0,7.35,0.0,-1,0.55,0.15,6.33,1.81,14.93,3.53,DIAS,irc,99.999,9.99,-
86,FSR_0521,-,0.883,13.24500024318695,59.835,123.121,-3.039,0.015,0.06,0.125,-1.36,-0.18,0.36,999.99,99.99,0,5,36,122,2534.0,0.562,12.2,0.27,0.18,0.02,9.21,0.053,11,1.7,0.44,12.04,3.13,3.44,0.43,DIAS,irc,99.999,9.99,-
87,ASCC_4,-,0.888,13.320000171661377,61.6,123.146,-1.274,0.025,0.085,0.21,-1.15,-0.63,0.54,-9.24,9.3,4,4,25,118,550.0,0.25,8.782,0.12,0.08,-0.04,8.65,0.0,-1,0.54,0.15,2.91,0.75,26.38,4.73,COCD,-,99.999,9.99,-
88,Alessi_1,-,0.8885,13.327499628067017,49.48,123.238,-13.394,0.05,0.175,0.425,6.13,-7.53,0.46,6.0,1.8,1,4,21,95,750.0,0.1,9.407,0.048,0.032,0.0,8.84,0.0,-1,4.59,2.4,7.68,1.84,5.47,5.72,COCD,-,99.999,9.99,-
89,FSR_0522,-,0.9,13.499999642372131,65.797,123.19,2.923,0.02,0.055,0.105,-1.16,1.93,0.41,999.99,99.99,0,5,29,79,2094.0,0.916,11.9,0.44,0.293,-0.01,8.55,0.0,-1,1.99,0.46,5.43,0.84,7.53,1.92,DIAS,irc,99.999,9.99,-
92,FSR_0524,-,0.9547,14.320499897003174,62.125,123.61,-0.742,0.01,0.06,0.11,-1.57,-0.07,0.3,999.99,99.99,0,4,46,101,1841.0,0.541,11.499,0.26,0.173,-0.04,9.19,0.0,-1,0.74,0.15,7.04,1.58,16.83,2.44,FPOS,-,99.999,9.99,-
93,ASCC_5,-,0.9605,14.40750002861023,55.855,123.802,-7.01,0.03,0.1,0.19,-1.82,-3.15,0.44,-43.0,3.7,1,5,25,85,523.0,0.021,8.599,0.01,0.007,-0.015,7.78,0.0,-1,0.21,0.15,3.01,2.54,16.26,10.55,COCD,-,99.999,9.99,-
94,Skiff_J0058+68.4,-,0.9695,14.542500078678131,68.465,123.548,5.598,0.02,0.18,0.32,-1.83,0.79,0.14,999.99,99.99,0,8,261,598,2000.0,0.65,11.714,0.312,0.208,-0.02,9.01,0.012,44,2.99,0.35,17.72,1.99,9.41,0.49,DIAS,-,99.999,9.99,-
97,Berkeley_62,-,1.0185,15.277499556541443,63.935,123.99,1.08,0.018,0.075,0.16,-2.65,1.7,0.27,999.99,99.99,0,7,64,198,2000.0,0.731,11.74,0.351,0.234,0.0,7.3,0.0,-1,1.3,0.25,8.91,1.73,8.65,1.01,DIAS,var,99.999,9.99,-
98,Czernik_3,-,1.0525,15.787500143051147,62.787,124.266,-0.058,0.01,0.04,0.08,-1.55,0.36,0.68,999.99,99.99,0,4,13,39,1600.0,0.999,11.342,0.48,0.32,0.0,8.8,0.0,-1,0.23,0.08,5.12,1.88,23.25,10.36,DIAS,-,99.999,9.99,-
102,NGC_366,-,1.109,16.6349995136261,62.224,124.686,-0.6,0.027,0.085,0.16,-0.48,-2.08,0.26,999.99,99.99,0,16,83,185,2200.0,0.999,12.034,0.48,0.32,0.0,7.9,0.0,-1,1.44,0.28,7.06,1.26,11.36,1.43,DIAS,-,99.999,9.99,-
105,NGC_381,-,1.1405,17.10749924182892,61.579,124.948,-1.229,0.02,0.1,0.18,0.22,-2.07,0.24,-22.0,6.0,2,9,92,233,1200.0,0.339,10.505,0.163,0.109,0.0,8.85,0.029,9,0.6,0.11,6.62,1.35,32.4,4.71,COCD,-,0.07,9.99,-
108,Stock_3,-,1.2025,18.03749978542328,62.258,125.335,-0.52,0.02,0.07,0.11,-0.13,-0.64,0.45,-6.0,99.99,1,3,39,90,1363.0,0.708,10.9,0.34,0.227,-0.03,7.85,0.0,-1,0.37,0.1,5.93,1.83,20.68,5.97,DIAS,-,99.999,9.99,-
110,NGC_433,-,1.2534,18.800999522209167,60.123,125.886,-2.616,0.02,0.06,0.14,-2.32,-1.6,0.33,-36.91,0.18,1,6,45,151,1650.0,0.6,11.28,0.288,0.192,0.0,7.81,0.0,1,1.56,0.55,5.82,1.68,3.8,1.07,COCD,-,99.999,9.99,-
111,NGC_436,-,1.2664,18.995999693870544,58.811,126.108,-3.913,0.04,0.095,0.155,-1.9,-2.15,0.35,-74.28,0.27,1,22,51,77,3000.0,0.46,12.534,0.221,0.147,0.0,7.925,0.0,-1,0.8,0.21,10.18,2.92,8.75,2.22,DIAS,-,99.999,9.99,-
114,NGC_457,-,1.327,19.90500032901764,58.28,126.635,-4.392,0.055,0.13,0.22,-1.92,-2.19,0.18,-32.69,3.47,7,40,153,321,2400.0,0.4,12.03,0.192,0.128,0.0,7.38,0.0,-1,2.6,0.44,10.31,1.49,7.57,0.95,COCD,-,99.999,9.99,-
115,FSR_0544,-,1.3305,19.957500100135803,52.667,127.29,-9.968,0.02,0.075,0.165,-2.74,1.38,0.38,999.99,99.99,0,6,43,113,1799.0,0.7,11.5,0.336,0.224,0.0,8.906,0.02,4,0.7,0.34,11.87,6.42,2.78,1.27,FPOS,-,99.999,9.99,-
116,FSR_0536,-,1.3289,19.933499693870544,63.067,126.125,0.368,0.02,0.08,0.16,-1.16,1.98,0.28,999.99,99.99,0,11,69,146,3001.0,1.199,12.772,0.576,0.384,0.0,8.397,0.0,-1,1.53,0.24,14.88,2.38,4.79,0.65,DIAS,irc,99.999,9.99,-
117,FSR_0538,-,1.3675,20.51249921321869,63.703,126.31,1.029,0.01,0.06,0.115,-0.95,2.77,0.47,999.99,99.99,0,3,27,82,2146.0,1.062,12.0,0.51,0.34,0.0,8.86,0.018,4,1.04,0.32,9.54,3.01,1.94,0.53,DIAS,irc,99.999,9.99,-
119,FSR_0542,-,1.43,21.44999921321869,62.985,126.818,0.369,0.025,0.085,0.14,1.22,-2.31,0.32,999.99,99.99,0,14,65,138,1934.0,0.833,11.7,0.4,0.267,0.01,8.35,0.0,-1,0.75,0.2,7.54,2.2,10.35,2.15,DIAS,irc,99.999,9.99,-
120,SAI_14,-,1.4345,21.517499685287476,62.613,126.898,0.005,0.02,0.07,0.12,2.24,-3.98,0.56,999.99,99.99,0,5,26,93,5086.0,0.833,13.8,0.4,0.267,-0.025,9.45,0.0,-1,1.03,0.35,19.3,6.61,1.62,0.66,DIAS,-,99.999,9.99,-
121,FSR_0560,-,1.4665,21.99750065803528,44.155,129.815,-18.231,0.018,0.08,0.15,-0.11,-1.95,0.52,999.99,99.99,0,5,23,43,1907.0,0.77,11.65,0.37,0.247,0.02,8.355,0.0,-1,0.53,0.22,9.83,4.61,6.8,2.9,FPOS,-,99.999,9.99,-
122,NGC_559,-,1.492,22.37999975681305,63.302,127.189,0.742,0.03,0.15,0.3,-2.95,-1.07,0.16,-37.7,99.99,1,19,210,528,2200.0,0.6,11.905,0.288,0.192,-0.015,8.8,0.0,-1,1.59,0.43,17.06,5.06,3.4,0.65,DIAS,-,99.999,9.99,-
124,NGC_581,-,1.5544,23.315999507904053,60.652,128.033,-1.808,0.035,0.075,0.17,-1.14,0.37,0.29,-41.43,1.65,6,20,44,176,2199.0,0.331,11.818,0.159,0.106,-0.013,7.44,0.0,-1,1.08,0.22,11.84,2.68,7.59,1.23,COCD,-,99.999,9.99,-
125,FSR_0531,-,1.557,23.355000615119934,74.742,125.739,12.096,0.015,0.08,0.165,3.39,-2.08,0.48,999.99,99.99,0,3,22,83,3896.0,0.146,13.0,0.07,0.047,-0.03,9.4,0.0,-1,4.44,1.32,15.79,3.81,0.93,0.23,FPOS,-,99.999,9.99,-
126,Czernik_4,-,1.5935,23.90250027179718,61.463,128.178,-0.961,0.01,0.04,0.07,1.84,-1.84,0.74,-11.4,0.25,1,3,11,24,1632.0,0.999,11.385,0.48,0.32,0.0,7.715,0.0,-1,0.27,0.12,3.96,1.9,16.76,7.6,DIAS,-,99.999,9.99,-
127,Trumpler_1,-,1.594,23.90999972820282,61.275,128.214,-1.146,0.01,0.045,0.08,0.67,-2.16,0.51,-65.0,30.0,1,2,22,50,2399.0,0.583,12.088,0.28,0.187,-0.02,7.1,0.0,-1,0.71,0.24,4.68,1.58,9.43,2.07,DIAS,-,99.999,9.99,-
128,NGC_609,-,1.6063,24.094499945640564,64.535,127.736,2.08,0.03,0.08,0.125,-0.45,-1.38,0.28,999.99,99.99,0,21,71,124,4499.0,0.75,13.507,0.36,0.24,-0.02,9.15,0.0,-1,2.15,0.36,19.0,3.38,3.09,0.36,DIAS,-,99.999,9.99,-
129,FSR_0546,-,1.62,24.300000071525574,65.85,127.59,3.39,0.03,0.09,0.15,2.32,0.36,0.3,999.99,99.99,0,13,72,140,2501.0,1.099,12.344,0.528,0.352,0.0,9.0,0.0,-1,1.48,0.21,11.9,1.72,5.92,0.7,DIAS,irc,99.999,9.99,-
132,FSR_0553,-,1.6823,25.23449957370758,64.515,128.222,2.15,0.025,0.06,0.12,-1.15,0.87,0.3,999.99,99.99,0,14,44,119,7500.0,0.999,14.697,0.48,0.32,0.02,8.6,0.0,-1,4.18,0.53,29.48,3.14,0.82,0.09,DIAS,irc,99.999,9.99,-
133,NGC_637,-,1.7185,25.77750027179718,64.045,128.545,1.735,0.011,0.075,0.145,-0.25,-2.0,0.49,-39.1,7.1,2,3,30,103,2304.0,0.583,12.0,0.28,0.187,0.0,6.74,0.0,-1,0.53,0.2,9.72,3.77,6.15,2.6,COCD,-,99.999,9.99,-
134,FSR_0539,-,1.7195,25.79249918460846,74.405,126.454,11.885,0.02,0.06,0.14,-0.35,1.29,0.46,999.99,99.99,0,4,22,58,2121.0,0.521,11.8,0.25,0.167,0.0,9.305,0.053,6,1.19,0.29,9.67,2.49,4.99,0.81,FPOS,-,99.999,9.99,-
135,NGC_657,-,1.7233,25.849499702453613,55.84,130.222,-6.298,0.018,0.05,0.095,-1.07,-1.53,0.59,999.99,99.99,0,3,18,38,1934.0,0.521,11.6,0.25,0.167,0.0,9.0,0.0,-1,0.65,0.22,3.83,1.17,8.38,2.27,DIAS,-,99.999,9.99,-
137,NGC_654,-,1.733,25.99500060081482,61.9,129.072,-0.347,0.02,0.105,0.16,0.9,-3.36,0.26,-38.79,2.5,1,11,86,179,1786.0,0.75,11.501,0.36,0.24,0.0,7.25,0.0,-1,0.61,0.08,10.0,1.51,54.35,6.89,COCD,-,99.999,9.99,-
138,NGC_659,-,1.7395,26.092500686645508,60.67,129.368,-1.542,0.025,0.07,0.155,-0.46,-0.63,0.28,999.99,99.99,0,23,68,234,2300.0,0.65,12.018,0.312,0.208,-0.01,7.762,0.193,2,0.79,0.25,10.68,3.74,5.71,1.63,COCD,-,99.999,9.99,-
139,NGC_663,-,1.77,26.549999713897705,61.225,129.47,-0.953,0.035,0.1,0.24,-0.98,-1.94,0.21,-31.58,2.01,6,17,113,516,2100.0,0.7,11.836,0.336,0.224,0.0,7.5,0.0,-1,2.29,0.32,14.21,1.97,8.83,0.59,COCD,-,99.999,9.99,-
140,Collinder_463,-,1.82,27.30000078678131,71.78,127.461,9.415,0.05,0.22,0.51,1.79,0.56,0.22,-7.19,0.28,1,9,121,567,800.0,0.3,9.612,0.144,0.096,0.0,8.45,0.066,4,3.73,0.81,10.47,1.55,9.61,2.34,COCD,-,99.999,9.99,-
141,ASCC_6,-,1.788,26.81999981403351,57.68,130.36,-4.388,0.035,0.08,0.19,-0.52,-0.68,0.39,-20.0,7.4,1,17,39,205,1350.0,0.3,10.748,0.144,0.096,-0.01,7.8,0.0,-1,1.4,0.6,8.47,3.58,2.29,0.46,COCD,-,99.999,9.99,-
142,Berkeley_5,-,1.795,26.924999356269836,62.933,129.277,0.753,0.022,0.05,0.08,0.11,-2.78,0.58,999.99,99.99,0,5,22,36,6000.0,1.399,14.341,0.672,0.448,0.05,8.83,0.0,-1,1.75,0.43,12.25,2.85,1.94,0.37,DIAS,-,99.999,9.99,-
145,Berkeley_6,-,1.855,27.825000286102295,61.06,130.107,-0.978,0.025,0.07,0.15,-1.29,-3.22,0.28,999.99,99.99,0,16,52,168,2500.0,0.781,12.241,0.375,0.25,0.0,8.6,0.0,-1,1.47,0.79,8.84,4.59,0.83,0.3,DIAS,-,99.999,9.99,-
146,IC_166,-,1.873,28.095000386238098,61.865,130.045,-0.165,0.04,0.125,0.245,-4.52,-1.27,0.16,-36.7,4.04,4,42,205,566,4801.0,0.849,13.68,0.408,0.272,0.0,9.0,0.011,78,5.51,0.95,35.4,6.12,0.99,0.08,DIAS,-,-0.178,0.2,-
147,Stock_4,-,1.8855,28.282499313354492,57.01,131.283,-4.861,0.035,0.095,0.21,0.93,0.49,0.38,999.99,99.99,0,8,28,120,900.0,0.05,9.787,0.024,0.016,-0.02,8.6,0.0,-1,1.63,0.59,4.78,1.28,5.3,2.08,COCD,-,99.999,9.99,-
149,Berkeley_7,-,1.903,28.544999957084656,62.37,130.13,0.375,0.025,0.045,0.11,-4.3,-1.95,0.37,999.99,99.99,0,22,45,144,2600.0,0.799,12.332,0.384,0.256,-0.015,7.25,0.0,-1,0.72,0.29,6.85,2.99,6.41,1.9,DIAS,-,99.999,9.99,-
150,Czernik_5,-,1.9285,28.92750084400177,61.354,130.552,-0.567,0.018,0.045,0.09,-3.13,-3.18,0.35,999.99,99.99,0,12,40,102,2400.0,1.099,12.255,0.528,0.352,-0.02,8.615,0.0,-1,0.56,0.22,6.61,2.83,6.76,2.35,DIAS,-,99.999,9.99,-
151,NGC_752,-,1.9515,29.272500872612,37.79,136.994,-23.286,0.1,0.65,1.4,8.36,-12.1,0.18,4.67,0.75,15,4,180,402,450.0,0.04,8.279,0.019,0.013,-0.03,9.13,0.0,-1,3.07,0.46,13.83,1.96,11.79,1.05,COCD,-,-0.088,0.07,-
152,IRAS_01546+6319,-,1.9555,29.332500100135803,63.49,130.201,1.549,0.05,0.18,0.39,-3.17,-1.04,0.26,999.99,99.99,0,13,93,378,2400.0,2.301,12.641,1.105,0.737,0.1,6.59,0.0,-1,10.08,4.24,22.0,5.51,0.41,0.27,LLEM,emb,99.999,9.99,-
153,NGC_744,-,1.9763,29.644500017166138,55.478,132.401,-6.158,0.04,0.195,0.345,-0.3,-3.92,0.14,999.99,99.99,0,19,243,629,1382.0,0.381,10.825,0.183,0.122,-0.02,8.375,0.0,-1,0.82,0.23,13.09,4.03,9.68,2.45,COCD,-,99.999,9.99,-
154,NGC_743,-,1.977,29.65499997138977,60.157,131.198,-1.636,0.025,0.09,0.17,-1.81,-2.77,0.29,-6.5,4.5,2,9,64,215,1100.0,0.45,10.352,0.216,0.144,-0.03,8.29,0.09,3,1.71,0.28,5.96,0.78,21.17,2.94,DIAS,dub,99.999,9.99,-
156,ASCC_7,-,1.985,29.77500021457672,58.925,131.575,-2.81,0.035,0.09,0.18,1.94,-1.21,0.28,-49.0,10.0,1,17,70,254,2000.0,0.45,11.65,0.216,0.144,0.0,7.4,0.0,-1,1.28,0.36,10.46,3.02,2.81,0.59,COCD,-,99.999,9.99,-
157,FSR_0558,-,2.0087,30.13049840927124,67.803,129.401,5.8,0.013,0.065,0.1,-2.89,-1.47,0.33,999.99,99.99,0,6,37,66,2501.0,0.999,12.312,0.48,0.32,0.0,8.8,0.0,-1,0.6,0.17,8.36,2.57,8.22,2.4,FPOS,-,99.999,9.99,-
158,Berkeley_8,-,2.0235,30.35249948501587,75.493,127.365,13.224,0.02,0.125,0.24,1.73,-1.85,0.25,999.99,99.99,0,7,92,212,5001.0,0.4,13.624,0.192,0.128,-0.01,9.3,0.0,-1,3.34,0.88,36.89,10.61,0.7,0.13,DIAS,-,99.999,9.99,-
159,Czernik_6,-,2.032,30.480000972747803,62.85,130.869,1.066,0.013,0.05,0.115,-3.85,0.05,0.58,999.99,99.99,0,2,18,77,1391.0,0.26,10.8,0.125,0.083,-0.02,7.98,0.0,-1,0.38,0.09,5.49,1.44,33.76,7.8,DIAS,-,99.999,9.99,-
162,Czernik_7,-,2.0503,30.75449824333191,62.253,131.152,0.526,0.03,0.065,0.12,-4.16,-1.91,0.53,999.99,99.99,0,9,22,55,3001.0,0.6,12.579,0.288,0.192,-0.015,9.116,0.017,10,3.4,0.94,8.84,1.59,1.66,0.53,DIAS,-,99.999,9.99,-
163,Stock_5,-,2.0757,31.13550066947937,64.355,130.736,2.593,0.02,0.115,0.24,1.12,-1.16,0.31,-19.3,0.7,2,4,65,233,1100.0,0.489,10.364,0.235,0.157,-0.015,7.7,0.0,-1,0.93,0.29,7.21,2.36,8.34,1.46,COCD,-,99.999,9.99,-
165,SAI_16,-,2.0942,31.41299843788147,62.265,131.443,0.623,0.012,0.045,0.09,-0.31,-1.42,0.41,999.99,99.99,0,4,29,78,4739.0,0.999,13.7,0.48,0.32,-0.03,9.15,0.0,-1,1.29,0.29,12.81,2.76,2.9,0.62,DIAS,-,99.999,9.99,-
166,FSR_0561,-,2.0983,31.474499702453613,67.745,129.908,5.884,0.015,0.08,0.135,-3.1,-1.04,0.45,999.99,99.99,0,3,19,38,1466.0,2.082,11.501,1.0,0.667,0.09,8.24,0.07,6,1.09,0.38,8.41,3.0,3.92,0.7,FPOS,-,99.999,9.99,-
167,Riddle_4,-,2.124,31.86000108718872,60.271,132.22,-1.226,0.02,0.04,0.083,1.01,-1.1,0.5,999.99,99.99,0,15,23,65,2200.0,1.049,12.05,0.504,0.336,0.0,7.35,0.0,-1,0.78,0.21,3.57,0.85,23.31,4.18,DIAS,-,99.999,9.99,-
168,IRAS_02044+6031,-,2.1355,32.03249931335449,60.75,132.162,-0.743,0.03,0.145,0.27,0.95,-1.43,0.3,-57.99,99.99,0,5,62,168,2735.0,1.135,12.55,0.545,0.364,0.03,6.25,0.0,-1,5.81,2.35,19.12,6.08,0.39,0.15,LLEM,emb,99.999,9.99,-
171,IRAS_02054+6011,-,2.145,32.174999713897705,60.437,132.321,-1.022,0.025,0.075,0.125,1.06,-2.72,0.35,999.99,99.99,0,4,40,92,2726.0,1.312,12.6,0.63,0.42,0.025,6.8,0.0,-1,2.95,0.7,8.94,1.46,1.77,0.4,LLEM,emb,99.999,9.99,-
