col0,ID,RA,dec,Av,DM0,Fe_H,logt,CampaignLength_u,CampaignLength_g,CampaignLength_r,CampaignLength_i,CampaignLength_z,CampaignLength_y,Coaddm5_u,Coaddm5_g,Coaddm5_r,Coaddm5_i,Coaddm5_z,Coaddm5_y,CrowdingM5_u,CrowdingM5_g,CrowdingM5_r,CrowdingM5_i,CrowdingM5_z,CrowdingM5_y,InterNightGaps_u,InterNightGaps_g,InterNightGaps_r,InterNightGaps_i,InterNightGaps_z,InterNightGaps_y,IntraNightGaps_u,IntraNightGaps_g,IntraNightGaps_r,IntraNightGaps_i,IntraNightGaps_z,IntraNightGaps_y,Uniformity_u,Uniformity_g,Uniformity_r,Uniformity_i,Uniformity_z,Uniformity_y,Parallax_u,Parallax_g,Parallax_r,Parallax_i,Parallax_z,Parallax_y,ProperMotion_u,ProperMotion_g,ProperMotion_r,ProperMotion_i,ProperMotion_z,ProperMotion_y,NinGaia,Mtot,Nexpected_u,Nexpected_g,Nexpected_r,Nexpected_i,Nexpected_z,Nexpected_y
10,Czernik_1,1.902,61.49,2.5823,12.35,99.999,7.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,5373.079549557034,35.4408327088782,0.0,0.0,0.0,0.0,0.0
11,SAI_1,2.112,51.724,0.9672000000000001,11.5,99.999,9.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521,6908.3575214245275,0.0,0.0,0.0,0.0,0.0,0.0
12,ASCC_1,2.4135,62.70400000000001,1.5159,11.178,99.999,8.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1834,16674.511445451935,0.0,0.0,0.0,0.0,0.0,0.0
13,Berkeley_1,2.4,60.467,2.8024,15.355,99.999,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874,718017.8107850547,109.89262594065262,5048.799677959975,4850.756005389242,3737.067299792975,2932.004189806448,1688.0311524432323
14,King_13,2.5140000000000002,61.184,2.542,12.721,99.999,8.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,4827.643184412983,0.7388707893744071,12.648425143162015,0.0,0.0,0.0,0.0
15,Alessi_20,2.6670000000000003,58.748000000000005,1.1811,8.483,99.999,7.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,374.6093881616404,0.0,0.0,0.0,0.0,0.0,0.0
16,FSR_0474,2.685,59.735,3.5495,13.7,99.999,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,FSR_0480,3.7365,61.471000000000004,2.9047,14.0,99.999,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,PTB_7,3.801,68.318,4.3555,13.0,99.999,6.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,BDSB_48,3.8625000000000007,61.25999999999999,4.8019,15.014,99.999,7.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Juchert-Saloran_1,4.0815,59.962,2.5823,13.9,99.999,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Berkeley_60,4.425,60.934000000000005,2.9697999999999998,12.9,0.07,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,2270.3411831913754,10.398843721371456,17.87893681763208,0.0,0.0,0.0,0.0
22,ASCC_2,4.875,55.645,1.55,11.97,99.999,8.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,3136.7736930013684,0.0,0.0,0.0,0.0,0.0,0.0
23,FSR_0486,5.103,59.33200000000001,1.7050000000000003,11.513,99.999,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,FSR_0479,5.3115000000000006,54.827,1.4848999999999999,11.7,99.999,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Mayer_1,5.513999999999999,61.741,1.55,10.937,99.999,7.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,199.0508154683185,0.0,0.0,0.0,0.0,0.0,0.0
26,King_1,5.515500000000001,64.384,1.9375,11.3,99.999,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1296,49977.69128517865,0.0,0.0,0.0,0.0,0.0,0.0
27,FSR_0477,5.745,51.883,1.4198000000000002,11.55,99.999,9.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,SAI_4,5.907,62.71000000000001,1.2400000000000002,11.149,99.999,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,419.20660029307777,0.0,0.0,0.0,0.0,0.0,0.0
29,Stock_20,6.3135,62.602,0.6200000000000001,10.271,99.999,8.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,200.72030712437214,0.0,0.0,0.0,0.0,0.0,0.0
30,NGC_103,6.27,61.34,1.395,12.135,99.999,8.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604,7552.33744844029,0.0,0.0,0.0,0.0,0.0,0.0
31,Berkeley_2,6.3165000000000004,60.382000000000005,2.7869,13.991,99.999,8.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,80330.81078178214,0.0,14.514170892052398,36.687081284039905,96.69419693803115,0.0,0.0
32,FSR_0494,6.42,63.75000000000001,1.6151000000000002,13.7,99.999,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,7812.664963364935,0.0,0.35938258831478703,0.0,0.0,0.0,0.0
33,FSR_0496,6.675,64.03,2.387,10.5,99.999,9.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,1161.6183023591109,0.0,0.0,0.0,0.0,0.0,0.0
34,NGC_110,6.855,71.422,2.015,11.23,99.999,8.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,SAI_6,6.978,60.677,2.7869,12.746,99.999,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,FSR_0481,7.2345,43.279,1.1935,11.8,99.999,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,FSR_0498,7.2749999999999995,62.409,0.46499999999999997,11.325,99.999,8.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,324.7115126995427,0.0,0.0,0.0,0.0,0.0,0.0
38,FSR_0503,7.3575,68.894,2.4769,13.618,99.999,9.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Stock_21,7.5615,57.931,1.2896,11.286,99.999,8.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,487.3893569575295,0.0,0.0,0.0,0.0,0.0,0.0
40,NGC_129,7.542000000000002,60.203,1.6771000000000003,11.307,99.999,7.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316,2896.529902179785,0.0,0.0,0.0,0.0,0.0,0.0
41,ASCC_3,7.7700000000000005,55.275,0.775,11.032,99.999,7.729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,1379.3111345437856,0.0,0.0,0.0,0.0,0.0,0.0
42,NGC_133,7.8195,63.345000000000006,1.9375,11.55,99.999,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,238.68056158058224,0.0,0.0,0.0,0.0,0.0,0.0
43,NGC_136,7.900499999999998,61.510000000000005,2.5823,13.0,99.999,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,1211.0833191825548,5.480999777624488,5.412331353426837,0.0,0.0,0.0,0.0
44,King_14,8.0145,63.181,1.8599999999999999,12.268,99.999,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,977.3914980034365,0.0,0.0,0.0,0.0,0.0,0.0
45,King_15,8.199,61.89000000000001,2.17,13.927,0.07,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,2155.4804792881014,9.87274723928329,18.946673412942413,4.494176799315691,0.0,0.0,0.0
46,NGC_146,8.225999999999999,63.30500000000001,1.8599999999999999,12.429,99.999,7.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,510.3286137171082,0.0,0.0,0.0,0.0,0.0,0.0
47,NGC_189,9.870000000000001,61.115,2.17,10.795,99.999,8.709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,1672.0817735130222,0.0,0.0,0.0,0.0,0.0,0.0
48,Stock_24,9.9405,61.965,1.7050000000000003,12.078,99.999,7.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,721.7726380656671,0.0,0.0,0.0,0.0,0.0,0.0
49,Dolidze_12,10.192499999999999,60.85499999999999,1.55,13.171,99.999,9.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,FSR_0508,10.473,64.956,4.6469000000000005,14.0,99.999,6.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Dias_1,10.653,64.06,2.9047,12.0,99.999,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,574.4753120444072,4.164371537009909,0.0,0.0,0.0,0.0,0.0
52,NGC_225,10.799999999999999,61.782,1.8599999999999999,9.84,99.999,8.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,1965.6471681319517,0.0,0.0,0.0,0.0,0.0,0.0
53,Czernik_2,10.924499999999998,60.15200000000001,1.55,13.427,99.999,9.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506,20182.206234227666,0.0,0.0,0.0,0.0,0.0,0.0
54,King_16,10.965,64.18,2.5823,12.1,99.999,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,398.06852211529383,1.7479188806082553,0.0,0.0,0.0,0.0,0.0
55,FSR_0507,11.01,52.36,2.7435,12.0,99.999,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Berkeley_4,11.267999999999999,64.382,2.17,12.818,99.999,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,6116.50322753651,37.04766004918864,0.0,0.0,0.0,0.0,0.0
57,NGC_188,11.850000000000003,85.255,0.2635,11.533,-0.01,9.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746,10249.153345744058,0.0,0.0,0.0,0.0,0.0,0.0
58,Berkeley_61,12.0795,67.193,3.2271,12.0,99.999,8.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,958.9362930673701,0.0,0.08131779765211299,0.0,0.0,0.0,0.0
59,Dolidze_13,12.51,64.091,1.085,12.014,99.999,8.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,FSR_0515,12.682500000000001,54.765,1.2896,12.0,99.999,9.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,FSR_0516,12.637500000000001,65.965,6.324000000000001,10.199,99.999,8.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
