Cluster,RA,DEC,GAL_L,GAL_B,R_Sun,DR_Sun,R_GC,DR_GC,Mass,DMass,V_mag,DV_mag,M/L_V,DM/L_V,rc,rh_l,rh_m,rt,rho_c,rho_h_m,RV,ERV,sig0,mualpha,emualpha,mu_delta,emudelta,rhopmrad,sig_c,sig_h_m,Trh,MF,F_REM,vesc,etac,etah,A_Rot,DA_Rot,P_Rot,X,DX,Y,DY,Z,DZ,U,DU,V,DV,W,DW,RPERI,ERPERI,RAPO,ERAPO,[Fe/H],E(B-V),V_HB,V_t,M_V_t,U-B,B-V,V-R,V-I,spt,ellip,v_r,ev_r,v_LSR,sig_v,esig_v,c,coll,r_c,r_h
NGC_5946,233.86905,-50.65971,327.583,4.191,9.64,0.51,5.2,0.26,93100.0,13700.0,9.49,0.09,1.58,0.26,0.31,1.93,2.59,44.03,4.51,2.81,137.6,0.94,6.0,-5.331,0.028,-1.657,0.027,-0.01,4.42,3.42,8.59,0.13,0.55,23.8,-0.35,-0.12,,,,0.06,0.43,-5.16,0.27,0.7,0.04,7.74,1.05,-22.33,1.17,98.37,1.24,0.49,0.15,5.18,0.36,-1.29,0.54,17.4,9.61,-7.18,0.45,1.29,0.77,1.58,F7/8,0.16,128.4,1.8,128.9,4.0,2.9,2.5,c,0.08,0.89
NGC_5986,236.5125,-37.78642,337.022,13.268,10.54,0.13,4.85,0.08,334000.0,23500.0,7.7,0.05,1.9,0.15,1.17,2.77,4.25,65.86,3.63,2.71,101.18,0.43,8.2,-4.192,0.026,-4.568,0.026,-0.01,4.11,3.55,9.25,-0.52,0.54,30.9,-0.39,-0.12,1.65,0.93,97.7,-1.27,0.12,-4.0,0.05,2.42,0.03,8.44,0.69,-72.44,1.2,-13.14,1.26,0.56,0.09,5.05,0.09,-1.59,0.28,16.52,7.52,-8.44,0.3,0.9,0.58,1.22,F5,0.06,88.9,3.7,92.9,,,1.23,,0.47,0.98
FSR_1716,242.625,-53.74889,329.778,-1.593,7.43,0.27,4.14,0.02,64300.0,22800.0,13.06,0.18,9.19,3.39,1.9,3.66,5.16,35.62,2.41,1.75,-30.7,0.98,3.3,-4.354,0.033,-8.832,0.031,-0.0,3.09,2.69,9.01,-0.16,0.59,11.8,-0.28,-0.11,,,,1.76,0.23,-3.74,0.13,-0.21,0.01,181.46,1.02,-10.51,1.09,-115.81,1.14,2.3,0.1,4.93,0.12,,,,,,,,,,,,,,,,,,,,
Pal_14,242.7525,14.95778,28.746,42.192,73.58,1.63,68.55,1.56,18900.0,3510.0,14.13,0.05,1.68,0.32,16.29,27.62,36.7,77.0,-0.85,-1.3,72.3,0.14,0.7,-0.463,0.038,-0.413,0.038,0.12,0.78,0.49,10.1,-0.04,0.6,2.3,-0.07,-0.0,,,,-39.62,1.06,26.22,0.58,49.42,1.09,-98.6,10.08,76.54,12.4,123.48,9.88,2.95,1.41,99.43,2.51,-1.62,0.04,20.1,14.74,-4.8,,,,,,,72.3,0.2,87.0,0.4,0.1,0.8,,0.82,1.22
Lynga_7,242.76521,-55.31778,328.769,-2.797,7.9,0.16,4.35,0.03,79600.0,10700.0,9.87,0.14,1.66,0.31,2.16,4.11,5.16,39.06,2.4,1.84,17.86,0.83,3.6,-3.851,0.027,-7.05,0.027,0.02,3.13,2.78,8.99,1.1,0.61,12.7,-0.19,-0.08,,,,1.43,0.14,-4.09,0.08,-0.39,0.01,125.61,0.88,1.31,0.96,-88.36,1.02,1.75,0.06,4.42,0.06,-0.67,0.73,17.43,10.18,-6.6,,,,,,,8.0,5.0,8.0,,,0.95,,0.9,1.2
NGC_6093,244.26004,-22.97608,352.673,19.463,10.34,0.12,3.95,0.08,338000.0,9410.0,7.43,0.05,2.08,0.08,0.41,1.76,2.62,61.98,4.85,3.36,10.93,0.39,11.0,-2.934,0.027,-5.578,0.026,-0.01,4.85,3.98,8.86,-0.16,0.62,43.5,-0.37,-0.11,1.97,0.84,99.7,-1.49,0.11,-1.24,0.01,3.44,0.04,-9.16,0.59,-48.75,1.29,-63.13,1.23,0.87,0.07,4.07,0.07,-1.75,0.18,16.1,7.33,-8.23,0.21,0.84,0.56,1.11,F6,0.0,8.1,1.5,16.7,12.4,0.6,1.68,,0.15,0.61
RLGC_1,244.28504,-44.59406,,,28.84,4.01,21.59,3.84,297000.0,0.0,13.1,0.0,1.8,0.0,2.83,7.97,11.6,172.83,2.39,1.47,,,4.6,,,,,,3.26,2.71,9.9,-0.85,0.41,17.2,-0.32,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC_6121,245.89674,-26.52575,350.973,15.972,1.85,0.02,6.45,0.01,87100.0,1130.0,5.65,0.06,1.59,0.06,0.39,2.49,3.69,53.43,4.19,2.33,71.21,0.15,4.8,-12.514,0.023,-19.022,0.023,-0.02,4.16,3.1,8.87,-0.25,0.53,19.4,-0.37,-0.11,0.22,0.17,81.8,6.42,0.02,-0.28,0.0,0.51,0.0,-56.2,0.16,45.24,0.2,-3.06,0.2,0.68,0.07,6.44,0.11,-1.16,0.35,13.45,5.63,-7.19,0.43,1.03,0.69,1.42,F8,0.0,70.7,0.2,78.6,4.0,0.2,1.65,,1.16,4.33
NGC_6101,246.45049,-72.20219,317.746,-15.825,14.45,0.19,10.36,0.15,178000.0,32200.0,8.68,0.05,2.56,0.47,5.86,9.56,14.06,89.11,1.46,0.88,366.33,0.32,3.3,1.756,0.024,-0.258,0.025,0.0,2.62,2.26,10.04,-1.27,0.51,11.6,-0.26,-0.05,,,,-2.11,0.13,-9.35,0.12,-3.94,0.05,-296.68,1.2,83.53,1.28,-190.13,1.6,10.2,0.14,35.65,1.19,-1.98,0.05,16.6,9.16,-6.94,0.06,0.68,0.5,,F5,0.05,361.4,1.7,357.0,,,0.8,,0.97,1.05
NGC_6144,246.80777,-26.0235,351.929,15.701,8.15,0.13,2.5,0.02,79200.0,13700.0,9.24,0.05,2.49,0.44,1.62,3.63,4.91,28.18,2.66,1.9,194.79,0.58,3.7,-1.744,0.026,-2.607,0.026,-0.0,3.28,2.81,9.01,0.11,0.71,13.6,-0.34,-0.1,,,,0.41,0.12,-1.1,0.02,2.21,0.03,-184.35,0.63,106.43,0.99,44.02,0.99,1.9,0.1,3.13,0.05,-1.76,0.36,16.4,9.01,-6.85,0.35,0.96,0.6,1.1,F5/6,0.25,193.8,0.6,201.9,,,1.55,,0.94,1.63
NGC_6139,246.91847,-38.84878,342.366,6.939,10.04,0.45,3.51,0.28,323000.0,32700.0,8.97,0.09,1.73,0.22,0.27,1.85,2.47,66.58,5.36,3.41,24.41,0.95,11.5,-6.081,0.027,-2.711,0.026,0.01,5.11,4.0,8.79,0.24,0.59,45.6,-0.35,-0.1,,,,-1.32,0.43,-3.02,0.14,1.21,0.05,68.41,0.98,-29.53,1.23,130.59,1.25,1.34,0.26,3.63,0.34,-1.65,0.75,17.9,8.99,-8.36,0.73,1.4,0.91,1.86,F6/7,0.05,6.7,6.0,11.5,,,1.86,,0.15,0.85
Ter_3,247.16248,-35.33983,345.084,9.199,7.64,0.31,2.46,0.02,40400.0,11500.0,10.59,0.18,1.75,0.57,2.93,4.67,7.19,22.45,1.68,1.11,-135.76,0.57,2.2,-5.577,0.027,-1.76,0.026,0.01,2.56,2.2,9.17,-0.58,0.17,7.9,-0.29,-0.09,,,,0.89,0.3,-1.94,0.08,1.22,0.05,181.99,0.62,112.92,0.93,88.73,0.95,2.39,0.06,2.88,0.08,-0.74,0.73,17.51,12.0,-4.82,,,,,,,-136.3,0.7,-130.6,,,0.7,,1.18,1.25
NGC_6171,248.13275,-13.05378,3.373,23.011,5.63,0.08,3.74,0.04,74900.0,3940.0,8.28,0.05,2.22,0.14,0.83,2.86,3.94,36.17,3.34,2.17,-34.71,0.18,4.1,-1.939,0.025,-5.979,0.025,0.0,3.67,2.98,8.87,-0.02,0.68,16.0,-0.39,-0.1,0.7,0.46,93.9,3.0,0.07,0.3,0.0,2.2,0.03,-10.27,0.31,93.66,0.67,-57.63,0.62,1.22,0.04,3.83,0.03,-1.02,0.33,15.7,7.93,-7.12,0.69,1.1,0.72,1.45,G0,0.02,-34.1,0.3,-23.0,4.1,0.3,1.53,,0.56,1.73
ESO_452-SC11,249.85417,-28.39917,351.909,12.098,7.39,0.2,2.12,0.05,8260.0,3350.0,11.76,0.07,2.42,0.99,0.73,2.52,3.68,10.99,2.53,1.3,16.37,0.44,1.4,-1.423,0.031,-6.472,0.03,-0.06,2.8,2.08,8.41,0.63,0.62,5.6,-0.33,-0.12,,,,1.03,0.19,-1.02,0.03,1.55,0.04,-20.55,0.51,43.58,1.07,-95.31,1.07,0.4,0.13,2.33,0.13,-1.5,0.46,16.6,12.0,-4.02,,,,,,,,,,,,1.0,,0.5,0.5
NGC_6205,250.42181,36.45986,59.007,40.913,7.42,0.08,8.64,0.04,545000.0,20600.0,5.81,0.05,2.31,0.12,1.89,3.46,5.26,134.25,3.34,2.66,-244.9,0.3,9.4,-3.149,0.023,-2.574,0.023,-0.01,4.02,3.59,9.52,-0.7,0.66,34.0,-0.3,-0.1,1.53,0.61,99.9,5.29,0.03,4.81,0.05,4.86,0.05,30.42,0.76,-15.23,0.64,-77.46,0.63,1.5,0.02,8.72,0.05,-1.53,0.02,14.9,5.78,-8.55,-0.02,0.68,,0.86,F6,0.11,-244.2,0.2,-228.0,7.1,0.4,1.53,,0.62,1.69
NGC_6229,251.74525,47.5278,73.639,40.306,30.11,0.47,29.45,0.44,286000.0,90900.0,9.33,0.07,1.93,0.62,1.05,3.12,4.41,209.53,3.66,2.61,-137.89,0.71,7.5,-1.171,0.026,-0.467,0.027,0.01,4.09,3.46,9.21,-0.53,0.65,28.7,-0.34,-0.1,,,,1.71,0.1,22.03,0.34,19.47,0.3,-7.81,3.73,29.23,2.62,47.44,2.89,1.27,0.23,30.37,0.44,-1.47,0.01,18.03,9.39,-8.06,-0.03,0.7,,1.01,F7,0.05,-154.2,7.6,-138.4,,,1.5,,0.12,0.36
NGC_6218,251.80907,-1.94853,15.715,26.313,5.11,0.05,4.57,0.02,107000.0,3280.0,7.09,0.05,1.92,0.09,1.21,2.83,4.05,45.27,3.13,2.29,-41.67,0.14,4.8,-0.191,0.024,-6.802,0.024,0.01,3.62,3.11,8.94,-0.28,0.62,17.8,-0.32,-0.11,0.93,0.37,100.0,3.77,0.04,1.24,0.01,2.26,0.02,-49.04,0.32,114.81,0.57,-85.33,0.52,2.15,0.02,4.71,0.01,-1.37,0.19,14.6,6.7,-7.31,0.2,0.83,0.56,1.14,F8,0.04,-41.4,0.2,-27.9,4.5,0.4,1.34,,0.79,1.77
FSR_1735,253.04417,-47.05806,339.188,-1.853,9.08,0.53,3.25,0.22,72300.0,14300.0,14.38,0.11,1.48,0.33,0.51,2.14,2.97,31.73,3.87,2.52,-69.85,4.88,4.7,-4.439,0.054,-1.534,0.048,-0.05,4.0,3.2,8.63,0.15,0.62,18.6,-0.34,-0.11,,,,-0.31,0.49,-3.23,0.19,-0.29,0.02,112.21,4.59,114.69,2.65,115.19,2.21,1.14,0.14,4.09,0.38,,1.42,20.0,12.9,-6.45,,,,,,,,,,,,0.56,,0.39,0.34
NGC_6235,253.35568,-22.17745,358.918,13.518,11.94,0.38,4.42,0.33,107000.0,20900.0,9.62,0.05,2.56,0.51,1.2,3.33,4.78,39.11,3.07,2.07,126.68,0.33,4.4,-3.931,0.027,-7.587,0.027,-0.01,3.56,2.96,9.09,-0.22,0.56,16.8,-0.34,-0.1,,,,-3.43,0.37,-0.22,0.01,2.79,0.09,-144.49,0.48,-226.85,1.51,-43.18,1.48,3.49,0.38,7.47,1.14,-1.28,0.31,16.87,9.97,-6.29,0.44,1.05,0.66,1.36,F9,0.13,87.3,3.4,96.8,,,1.53,,0.33,1.0
NGC_6254,254.28772,-4.10031,15.137,23.076,5.07,0.06,4.35,0.03,205000.0,4310.0,6.61,0.05,1.86,0.08,1.05,2.97,4.81,54.06,3.49,2.34,74.21,0.23,6.2,-4.758,0.024,-6.597,0.024,-0.02,3.92,3.24,9.25,-0.68,0.53,23.7,-0.35,-0.1,0.26,0.56,12.0,3.68,0.06,1.22,0.02,1.99,0.03,-122.79,0.33,80.54,0.55,48.77,0.53,1.92,0.02,4.59,0.04,-1.56,0.28,14.65,6.6,-7.48,0.23,0.9,0.53,1.21,F3,0.0,75.2,0.7,88.5,6.6,0.8,1.38,,0.77,1.95
